ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in Education (2010),Inequality in Education (2011),Inequality in Education (2012),Inequality in Education (2013),Inequality in Education (2014),Inequality in Education (2015),Inequality in Education (2016),Inequality in Education (2017),Inequality in Education (2018),Inequality in Education (2019),Inequality in Education (2020),Inequality in Education (2021)
TCD,Chad,Low,SSA,190,41.86,41.86,41.86,41.86,41.86,42.95,42.95,42.95,42.95,42.93,42.93,42.93
TGO,Togo,Low,SSA,162,38.87,38.87,38.87,38.87,38.88,38.88,38.88,37.73,37.73,37.73,37.73,37.73
THA,Thailand,Very High,EAP,66,20.76,20.76,20.76,16.58,16.58,16.58,16.58,16.58,16.58,16.85,16.85,16.85
TJK,Tajikistan,Medium,ECA,122,,,6.54325,6.54325,6.54325,6.54325,6.54325,6.03825,6.03825,6.03825,6.03825,6.03825
TKM,Turkmenistan,High,ECA,91,5.24207,5.24207,,,,,3.55428,3.55428,3.55428,2.94467,2.94467,2.94467
TLS,Timor-Leste,Medium,EAP,140,47.62,47.62,47.62,47.62,47.62,47.62,44.91,44.91,44.91,44.91,44.91,44.91
TON,Tonga,High,EAP,91,,5.061193561,5.061193561,5.061193561,5.061193561,5.061193561,5.061193561,,,4.30943,4.30943,4.30943
TTO,Trinidad and Tobago,Very High,LAC,57,,9.71398,9.71398,9.71398,9.71398,9.71398,9.71398,,,,,
TUN,Tunisia,High,AS,97,,,34.57692,34.57692,34.57692,34.57692,34.57692,34.57692,30.70285,30.70285,30.70285,30.70285
TUR,Turkey,Very High,ECA,48,17.50,15.97,15.15,15.03,14.74,14.59,14.06,13.64,13.64,13.64,13.64,13.64
TUV,Tuvalu,Medium,EAP,130,10.499,10.499,10.499,10.499,10.499,10.499,,,,,9.17696,9.17696
TZA,Tanzania,Low,SSA,160,29.50,29.50,28.50,28.50,28.50,28.50,26.96,26.96,26.96,26.96,26.96,26.96
UGA,Uganda,Low,SSA,166,32.20,29.37,29.37,29.37,29.37,29.37,27.91,27.91,27.91,27.91,27.91,27.91
UKR,Ukraine,High,ECA,77,6.10,6.10,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60
URY,Uruguay,Very High,LAC,58,8.40,7.40,7.15,6.98,6.85,6.82,6.66,6.63,6.53,6.55,6.55,6.55
USA,United States,Very High,,21,2.912103641,2.903005558,2.823743688,3.000270228,3.042451219,3.03614997,2.915457403,2.915457403,2.745849765,2.745849765,2.745849765,2.745849765
UZB,Uzbekistan,High,ECA,101,,,,0.779396797,0.765510466,0.757375436,0.724853929,0.724853929,0.550110115,0.550110115,0.550110115,0.550110115
VCT,Saint Vincent and the Grenadines,High,LAC,89,,,,,,,,9.166052393,9.166052393,9.166052393,9.166052393,9.166052393
VEN,Venezuela,Medium,LAC,120,17.53,13.36,13.36,13.36,13.36,14.28,8.67,8.67,8.67,8.67,8.67,8.67
VNM,Viet Nam,High,EAP,115,16.58,16.58,16.58,16.58,17.64,17.64,17.64,17.64,17.64,17.64,15.25,15.25
VUT,Vanuatu,Medium,EAP,140,17.49305,17.49305,17.49305,17.49305,17.49305,,,,,,,
WSM,Samoa,High,EAP,111,,,,,,,,,,,7.02996,7.02996
YEM,Yemen,Low,AS,183,48.09,48.09,48.09,46.14,46.14,46.14,46.14,46.14,46.14,46.14,46.14,46.14
ZAF,South Africa,High,SSA,109,,,16.06077,16.06077,16.06077,14.26559,17.29413,17.29413,17.29413,17.29413,17.29413,17.29413
ZMB,Zambia,Medium,SSA,154,23.76,23.76,23.76,23.76,21.73,21.73,21.73,21.73,20.44,20.44,20.44,20.44
ZWE,Zimbabwe,Medium,SSA,146,17.83,17.83,17.83,17.83,17.40,16.81,16.81,16.81,16.81,14.61,14.61,14.61
